0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
-0.31586733,-0.06038283,0.89153945,-0.6759491,-0.20529445,-0.87862384,0.051971395,0.726449,0.12124403,0.26385385,0.26810902,0.8055732,-0.2532884,0.50309414,0.70353866,0.18313362,0.22326714,0.12588538,0.6126889,-0.294707,-0.11340625,-0.17593773,0.5770713,-0.360484,-0.4452894,0.56876314,0.44532135,-0.08067557,-0.6944035,0.45420703,-0.65164614,0.29081482,0.19779177,-0.25752628,0.2844853,-0.5236929,0.46923476,0.006685544,-0.5134354,-0.4109872,-0.555796,0.4123436,0.25181583,-0.5690224,0.032507274,-0.33046097,0.3068949,-0.5649811,-0.28860956,0.41072732,-0.12728767,0.04229617,0.5865398,0.014903696,0.6048775,0.43921474,0.5009261,0.787317,0.56972146,-0.01377459,-0.27564472,-0.08310259,-0.858863,-0.6732944,-0.49808812,-0.49143922,0.484214,0.35649872,-0.464267,0.4794098,-0.5471032,-0.16854884,0.64201397,-0.10331868,0.3933433,0.40427408,0.5447244,-0.69042593,-0.12154327,-0.047313787,0.05234941,0.69215757,0.45364237,-0.5298438,-0.016965281,0.0006265913,0.030832266,-0.04091612,0.64865315,-0.69904613,0.026022036,0.25428206,0.41704458,0.04235686,-0.17866297,-0.25650263,-0.73768306,0.45785168,0.17298035,-0.24199761,-0.06536533,-0.07800893,-0.122820124,-0.0078762565,-0.15048312,-0.44968385,0.25972933,-0.2050227,-0.69246304,0.1437093,0.503926,0.20247114,-0.12565494,0.855507,-0.06575144,0.27234393,-0.324769,0.6867411,0.3753798,-0.8420927,0.16661324,-0.5828993,0.20421807,0.45542863,-0.40594813,0.14258334,-0.60500216,-0.44532862
0.24797392,1.0147144,-0.2658047,0.47137114,1.0610605,0.7267206,1.1863906,-0.83060473,-0.7258483,0.37363032,-0.713432,-0.35397783,1.325013,0.6081032,-1.4124686,0.0049742125,0.48974875,0.3605537,0.48493564,0.1783491,0.20172317,-0.30947185,0.11654774,0.5260987,1.0595144,-0.8882164,-0.35916054,-0.015456283,0.51522905,-0.77917516,1.2976929,0.23505805,-1.0409462,0.41367728,0.31929433,1.4546947,0.4127792,0.8692903,-0.43281212,-0.82770824,-0.6896728,-0.41063198,-0.83207613,0.084838934,0.09748961,-0.023736494,0.5936451,0.31483206,-0.972893,-0.38448042,0.38620302,-0.5457132,-0.9146083,-1.207859,-1.2648511,-0.9445748,-0.9006775,0.23543306,-0.3664334,0.88515514,0.3219142,0.48554918,-0.48114213,0.6031831,0.044130415,0.37539503,-1.3841412,0.5872027,-0.3294549,-0.8573721,-0.8512651,-1.046647,-0.8438213,-0.031800874,-1.1089295,-0.359922,0.23505501,-0.68891126,0.51917773,0.8993835,0.3460616,0.306782,-0.63074976,0.47095767,0.41409093,-0.9622394,-1.06993,-1.206379,-0.49158138,-0.06875633,0.21649794,0.43476245,-0.38308585,0.9697261,0.77821356,-0.19933636,-0.46384415,0.32720354,0.2934154,1.5240015,-0.40485033,-0.35342807,-0.5693679,1.3314427,1.4514718,0.3209914,-0.80401236,1.4092605,0.5503053,-0.8604891,-1.0124645,-0.5861017,0.98897976,-0.90322584,-0.015552449,-1.1268445,-0.07981307,0.19972275,-0.25216058,-1.5158095,0.43619132,1.0860635,-0.49729937,-0.514989,1.3836906,-0.06746095,1.3462032,-0.18716834
-0.4886051,1.1462358,-0.096718356,0.43102884,1.2213578,0.21735935,1.015787,-0.27430317,-0.7804535,0.16537002,-0.90687066,-0.95026964,1.1812339,0.16237651,-1.3892527,-0.12730372,0.61760384,0.40322983,0.12590586,0.29404053,0.36455494,-0.43486416,0.115032144,0.12186526,1.2288895,-0.6053788,0.15192266,0.43688628,0.4510063,-0.8361289,0.7257292,0.106983684,-0.46714264,0.50818866,0.3537723,1.0466433,-0.0041095093,0.76928514,-0.4087404,-0.2818656,-0.57158595,-0.33701116,-1.1746182,-0.38386908,0.44293234,-0.25707012,0.7943252,0.003536388,-0.49582788,-0.34612384,0.2642724,-0.1757339,-0.8442503,-0.9815065,-1.3175375,-0.5381561,-1.315103,-0.29414976,0.30209056,0.84431624,-0.056916576,0.6001347,-0.632731,-0.108654395,0.65879697,-0.401439,-1.2071247,0.32075107,0.10105338,-0.87685835,-0.6415972,-1.0860178,-0.28880927,0.13302208,-1.3773683,-0.45921135,-0.2634317,-0.53782684,-0.014299852,0.7843115,-0.032995388,-0.4373253,-0.5815715,0.20968711,0.45931455,-0.8576002,-0.7853319,-1.4340106,-0.9172946,0.03986323,-0.22229408,0.42657062,-0.56929004,0.67470914,0.5542941,-0.5957146,-0.1651807,0.13275214,0.33612248,1.5067078,-0.2693827,-0.49812678,-0.3020531,1.666503,0.92378086,0.37047198,-0.6867513,1.6217378,0.5619597,-1.1479799,-0.5461331,-0.7075333,1.119768,-1.0800029,0.46325538,-0.59537506,0.35780922,-0.17369659,-0.014560989,-1.7304302,0.3907482,0.96522623,-0.66394717,-0.4945479,1.4733138,0.05745935,1.6546433,-0.37868887
0.6455113,-0.45544162,-0.8029514,0.28359848,0.43925104,1.1520829,0.665552,-1.3717005,0.447869,-0.5364685,-0.1449391,-0.18519506,1.2303274,1.4658871,0.33909774,0.8073645,-1.3713105,0.6715363,-0.33178622,-0.106325686,-1.3088074,-0.100880034,-1.4520874,-0.5659755,-0.3860498,-1.4239688,-0.48419827,0.019881845,0.56602365,-0.82933915,1.1550895,-0.71319044,0.19816776,1.3825608,0.31933454,-0.5845944,-1.1631186,0.15635417,-0.47834748,0.5614151,0.40623978,0.45175365,0.56069934,-0.36238894,0.46427396,0.6667665,-0.9299109,1.0001266,-0.6730473,0.36719745,-0.49444768,0.6490911,-0.9034977,0.35384768,-1.2071259,-1.191739,0.40658906,-0.97401124,0.4655292,-0.42384124,0.68253744,-0.47911015,0.9294461,-0.31247732,-0.2891134,0.5567933,-0.48185307,-0.48238435,-0.9702848,-1.2181215,0.13168275,0.9881222,-0.13820626,0.47183916,-0.806571,-0.52478653,0.5946103,0.7336784,1.0594654,-0.62666917,-1.1113069,-1.2261263,-1.1589328,-0.25816292,-0.53676564,-1.4763203,0.42170933,0.58049566,-0.7936008,-0.27513266,-0.9630172,-0.55117697,-0.89990646,-0.42196348,0.90188944,-0.887978,-0.5996303,-0.13008182,-0.30615723,0.3301423,-0.92749107,-0.36290035,0.26337317,0.9055615,0.050187882,-0.65420574,-0.92190385,-0.2188304,-0.5838977,-0.6797044,-0.60316527,0.7228832,-0.2873381,-1.0610816,-0.60383177,-0.8176368,0.7204913,-1.3416535,0.44656253,-0.5228911,-0.6026954,-0.37526006,-0.8225207,-0.68199533,-0.8994058,-1.2881066,0.7989208,0.23027596
0.08802684,0.8812947,-0.23526607,-0.10743503,0.01096828,-1.2738395,-0.72595084,1.22062,-0.1959697,1.2090483,0.7197496,-0.4118041,-0.1280223,-0.22018129,1.1055254,-0.3732715,-0.6371638,-0.57952154,-0.52139217,-1.0691954,-0.4398,0.51903015,-0.63896644,-0.30996683,-1.4903461,1.0709563,1.3783062,-0.017589476,0.031072013,1.2885833,0.7004323,-0.20500024,0.32933608,-0.71761084,0.07841887,0.45346758,-0.66345716,-1.1700158,-1.0534935,-1.4296391,-1.0797676,1.33928,-0.49235418,-1.5872947,-0.8231527,-0.85792434,-0.57301027,0.3324479,-1.0388235,-0.13800138,-0.7283162,-0.76570994,-0.41359618,0.3900636,-0.19443166,-0.4291117,-0.37170285,1.4323517,1.651138,0.69374305,0.31328014,0.7456982,-0.60028267,-1.5437881,-1.3490845,-1.5066801,-0.37913942,0.27339888,0.6697651,-0.3877279,-1.4519099,-0.8300413,0.018195052,0.3150863,0.90911436,1.4916476,1.1972365,-1.1218452,-0.15526262,-0.1408081,-0.8596199,0.49552107,1.0304122,0.71517456,0.86896825,-0.76753324,1.0710284,0.1377715,0.1981051,-1.2195544,0.5587035,1.2190423,1.0508306,-0.58084327,-1.4922743,-1.1679591,-1.431633,1.3709359,-0.7915754,-1.1359348,0.8875592,0.4241474,0.026720013,-1.0919523,0.8822947,-0.9826203,1.5267593,-0.45758677,0.36284214,1.4476697,0.65258396,0.3042944,-0.6325866,0.9557336,-0.9593044,1.1174592,-1.1378803,-0.2808734,0.9849087,-0.10810774,-0.05151466,0.5260111,-0.5791752,-0.31259102,0.45024195,0.06041639,0.40289664,0.33368063
-0.022640834,1.0402379,-0.23635146,0.09781127,0.014573631,-0.9435581,-0.72348374,1.1641217,-0.36100778,1.3939912,0.558742,-0.33291823,0.08580429,-0.08962085,1.0426041,-0.33061796,-0.5500461,-0.452323,-0.49505594,-0.80729264,-0.471022,0.45780426,-0.66502154,-0.383371,-1.3161234,1.067806,1.3411801,0.0886746,0.23616987,1.0074576,0.569644,-0.22727412,0.07016451,-0.49676558,-0.010576295,0.5450587,-0.8552116,-1.244761,-0.7496674,-1.2395109,-1.2920142,1.4092946,-0.28041697,-1.2951026,-0.5027735,-0.6455192,-0.70480835,0.23370509,-0.7812397,-0.08583823,-0.9104312,-0.9898124,-0.5616777,0.19388391,-0.13849904,-0.5065301,-0.7185855,1.2567749,1.3887417,0.9278325,0.21421364,0.62137324,-0.76652706,-1.5141765,-1.2787069,-1.5367893,-0.253891,0.04198419,0.73924154,-0.5579798,-1.1069307,-0.5968903,-0.12505174,0.14163469,0.95008564,1.2719153,1.2282301,-0.692867,0.15306132,-0.1358323,-0.8629485,0.5724053,0.9722406,1.0063221,0.8116102,-0.71425813,1.137387,0.17236605,0.2642961,-0.82204205,0.5761787,1.2878956,0.73957837,-0.9236588,-1.3168719,-1.200882,-1.0589706,1.4035852,-0.81145144,-1.2734867,1.1642073,0.45993155,-0.39223525,-1.0882534,0.5899426,-1.0265961,1.1933154,-0.47394544,0.62818927,1.3368454,0.55271393,0.26589736,-0.56164724,0.8737875,-0.8525983,1.3198595,-0.81767255,-0.27649283,0.6661361,-0.118718825,-0.20075597,0.6584111,-0.5158025,-0.51906854,0.30319095,-0.22259845,0.24995624,0.6566508
0.79473853,-0.037518434,0.30502507,-0.7943315,-0.6472444,-0.16170144,0.73223495,-0.5824533,-0.7058562,-0.42403638,-0.7294992,-0.4366172,-0.60895145,-0.068162926,-0.2670027,-0.841732,-0.44237414,-0.94114745,-0.03918855,0.13308656,0.71043366,0.22750904,0.5046207,0.2737875,0.92947304,-0.48406813,-0.7721209,-0.33677888,0.1929453,-0.061931428,0.09252634,-0.09206328,-0.40535778,-0.14015782,-0.9856923,0.29718265,-0.24375623,0.7701709,0.14681375,-0.025792697,1.0435064,-0.9789502,0.13281344,-0.49985784,-0.042660065,0.67659557,-0.29761514,0.16018271,-0.6449924,-0.011896168,-0.54213625,0.4146961,0.36939994,-0.9374232,-0.28017494,-0.12364217,0.33976266,-0.5161563,-0.12818408,-0.42707935,0.5274323,0.4512471,-0.472363,0.5542093,-0.00010047144,0.4918945,-0.4557671,-0.5458702,0.6685962,0.32961762,0.25897658,-0.9312508,-0.13586959,0.92239475,-0.36187717,0.28005722,-0.011378405,-0.016031342,-0.96587586,0.8543346,0.10499905,0.47845563,0.2774847,-0.4773971,-0.026571225,0.34681207,-0.21686172,0.8215901,-0.6270577,0.27040544,0.6236782,-0.06542756,0.2723194,0.5102152,0.7134749,0.29725134,0.023312462,0.05734847,0.6587671,0.10792012,0.14770001,0.27704996,-0.8004768,0.03835724,-0.14872523,0.20829313,0.38073522,0.33677778,-0.00369057,0.18972708,-0.9014509,0.32079616,-0.8491918,0.2569857,-0.5717856,0.7649319,-0.24906676,0.4626712,-0.72360814,0.24454178,0.46056667,-0.19269975,0.8714361,0.122331396,0.625703,0.79213953,-0.3342017,0.24768575
-0.16423923,0.3691541,0.24685588,-0.11253724,-0.2189521,-0.95305574,-0.49120304,0.9304709,-0.16307326,0.6698345,0.43412003,-0.008141034,-0.3028595,0.08606549,0.779904,-0.22565883,-0.27004445,-0.24319266,-0.0632874,-0.7828005,-0.23799612,0.26177445,-0.19738154,-0.21833016,-0.9159756,0.78575844,0.8414345,-0.08233097,-0.13991545,0.88248,0.1824096,-0.116527155,0.1957031,-0.5009223,0.18457429,0.01903115,-0.2098761,-0.64258915,-0.81396794,-0.8321967,-0.6404681,0.8538898,-0.16147853,-1.0841904,-0.49889436,-0.659191,-0.26405263,-0.03630484,-0.7466452,-0.060710713,-0.30473313,-0.38642636,0.037892,0.33589908,0.074495606,-0.11376654,-0.15060094,1.0425354,1.138838,0.47602254,0.052795216,0.47213998,-0.661747,-1.0773958,-0.856279,-1.0137248,0.056485977,0.20339124,0.2940879,0.038598012,-1.0076028,-0.45347822,0.15346561,0.0462704,0.65033334,1.0525489,0.8144195,-0.8016476,-0.16243711,-0.1059742,-0.59056294,0.37537637,0.78156376,0.17761399,0.46889627,-0.45409387,0.5076799,-0.17374116,0.4181218,-0.8148172,0.046561964,0.5724326,0.6899903,-0.2275929,-0.8667566,-0.766119,-0.9525345,0.87132657,-0.37928906,-0.6886012,0.3553201,0.27245933,0.017246734,-0.41243443,0.42465407,-0.6737717,0.9854981,-0.16214725,0.050300274,0.7920043,0.67879695,0.24296226,-0.23153561,0.7853441,-0.51627535,0.5065414,-0.8415548,-0.0031013007,0.7044218,-0.15786572,-0.13968572,0.21781537,-0.080796264,-0.019638557,0.003183302,-0.046618976,0.088917926,-0.049279653
-0.3417147,0.0775538,0.45725343,-0.14811718,-0.072421715,-0.5133403,-0.20400347,0.75371027,-0.036052406,0.42309976,-0.02559965,0.34220487,-0.089029245,0.14485997,0.27004522,0.007018538,0.04217298,-0.050024826,-0.08914155,-0.4596851,-0.2704202,-0.008231003,-0.020287078,-0.06639234,-0.65042645,0.6725452,0.8316446,-0.47304586,-0.45699352,0.56664705,-0.28570825,0.39287946,-0.13816519,0.04666045,0.6281152,-0.3485838,0.037368577,0.033339087,-0.13690951,-0.39673224,-0.21816394,0.5134911,0.23767474,-0.49661192,0.15916021,-0.5817337,-0.18270864,-0.61948216,-0.20141543,-0.18209821,-0.0018774949,-0.10323117,0.08312174,0.116886936,0.5496954,0.4255049,0.3421704,0.5865005,0.71982634,0.08161451,-0.50491893,-0.39649895,-0.722865,-0.6322871,-0.79871684,-0.5255361,0.46568155,0.5694533,0.26383802,0.25750878,-0.72182536,-0.5298795,0.3056722,-0.16658749,0.28795227,0.38573608,0.28534043,-0.60672116,-0.45259795,-0.6216053,-0.3984142,0.08049201,0.24373616,0.12969233,0.03990399,0.1718835,0.41810077,0.2241633,0.57077503,-0.6621797,0.29439247,0.38604334,0.5674837,0.045157682,-0.26241705,-0.25180787,-0.6425364,0.87387854,-0.09162173,-0.59160286,0.20487852,-0.3302223,-0.18612784,-0.39767066,-0.07337008,-0.4096461,0.41267884,-0.31795612,-0.55232584,0.42208084,0.39908144,-0.25640795,-0.17912796,0.6212654,-0.25928634,0.22920698,-0.50767255,0.46389195,0.43676594,-0.5498235,0.036947675,-0.3019715,-0.148389,0.10491932,-0.34121466,0.037739627,-0.6933525,-0.56709677
-0.6787677,0.08907344,-0.6288095,-1.5765158,-0.55028147,0.5303651,1.1900694,0.21410051,1.3695487,-0.18998998,1.3289565,-0.35184273,1.4205301,-0.30451053,-1.8635824,-0.4191132,-0.38843158,-1.3984324,-0.2710187,-0.7192117,0.9568612,-1.8315567,0.52421707,-0.13462715,-0.8182735,0.8653352,0.71942085,1.5854386,-0.58375686,-0.71404254,1.9276828,-0.42102963,-0.20907997,0.15982474,-1.3684027,1.4634976,0.7247105,0.7488381,1.682554,-1.7277154,-0.13181701,0.90087324,-0.6782717,-0.2682376,-1.6601158,0.9472372,-0.6119698,-0.14280464,-0.90609956,1.0708834,-0.82560563,0.102677755,0.52143306,-0.14378528,0.49784407,-1.3108121,0.22469059,0.86197466,-0.30150798,1.2293668,-1.3375213,-0.5356563,-0.0670838,-0.8804895,0.8834555,0.18295579,-1.5898827,-0.002181169,-1.5792804,-0.14348246,-0.03780517,-0.84695244,0.34065953,1.3273059,-0.08459901,-0.84021175,-0.5144053,0.549679,0.50866,0.3445894,0.9876067,0.59605366,-1.0854867,-0.52329725,0.870569,0.11645564,-0.6832562,-0.2806977,-1.5206448,1.2756593,0.047410436,-0.6721617,0.34923068,0.22835682,-0.6499517,-1.2602739,1.6547275,-1.1729714,1.7966006,1.556894,0.040021386,0.09610728,0.87067425,-0.06582076,1.8252032,0.45815393,-1.2193902,-0.05550101,0.6147077,0.39281118,0.23317195,0.30819407,1.0643904,0.29439566,1.4511623,-1.1043204,-0.63982815,0.70239216,-1.1002448,-1.8249369,0.799099,0.79233295,1.1070212,-0.7081797,0.5691428,1.4755342,-0.06404683,0.17734124
